Programa de financiación;Título;Ce.gestor;Funcional;Económico;Fondo;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2021/001444;CENTRO DE INTELIGENCIA ARTIFICIAL, C/ BRAVO MURILLO, 37-39. SEÑALIZACIÓN;001141;46300;62901;;17.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;207;CHAMBERI
2018/008211;SEÑALIZACIÓN VIARIO EN CALLES CON POCA VISIBILIDAD DISTRITO DE SAN BLAS-CANILLEJAS (ID 18: 633);001150;13301;60912;;18.150,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;220;SAN BLAS - CANILLEJAS
2020/000140;SERVICIOS AGENTES DE MOVILIDAD. MOBILIARIO SALÓN DE ACTOS;001150;13301;62500;;70.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000160;EDIFICIO SILO AGENTES DE MOVILIDAD. OBRAS ADECUACIÓN DE SEGURIDAD;001150;13301;63200;;90.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;209;MONCLOA-ARAVACA
2020/000178;SERVICIOS DE TRÁFICO, AGENTES DE MOVILIDAD. MOBILIARIO;001150;13301;63500;;20.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2021/000144;EDIFICIO C/ALBARRACÍN, 33. MEJORA PLAN AUTOPROTECCIÓN Y PREVENCIÓN RIESGOS LABORALES;001150;13301;63200;;100.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;220;SAN BLAS - CANILLEJAS
2021/000156;TAQUILLAS PARA LOS AGENTES DE MOVILIDAD;001150;13301;63500;;160.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2021/000353;LECTORES DE MATRÍCULA SERVICIOS DE TRÁFICO. INSTALACIÓN;001150;13301;62799;;250.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2021/000419;SISTEMA DE CONTROL DE ACCESO AL INTERIOR DE MADRID CALLE 30. INSTALACIÓN;001150;13301;62799;;3.850.000,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;998;VARIOS DISTRITOS
2022/000464;SISTEMAS Y EQUIPAMIENTOS TECNOLOGÍAS DE TRÁFICO;001150;13301;62799;;4.705.172,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2022/000465;CÁMARAS CONTROL DE ACCESO CIRCUNVALACIÓN M30. INSTALACIÓN E INTEGRACIÓN;001150;13301;62799;;2.500.000,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;998;VARIOS DISTRITOS
2022/000530;AVISADORES ACÚSTICOS SEMAFOROS;001150;13301;62300;;106.128,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2022/000547;SISTEMAS TECNOLÓGICOS DE CONTROL DE VELOCIDAD EN ENTORNOS ESCOLARES;001150;13301;62799;;3.000.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2022/000552;MOVILIDAD SOSTENIBLE ESCOLAR E ITINERARIOS PEATONALES SEGUROS;001150;13301;62799;;5.000.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2011/000318;MADRID CALLE 30 S.A. INVERSIONES DE REPOSICIÓN;001150;15323;61901;;12.810.523,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;998;VARIOS DISTRITOS
2020/000278;OBRAS EJECUCIÓN NUDO NORTE M-30 MADRID;001150;15330;60999;;7.470.000,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;205;CHAMARTIN
2020/000278;OBRAS EJECUCIÓN NUDO NORTE M-30 MADRID;001150;15330;60999;;17.430.000,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;208;FUENCARRAL-EL PARDO
2021/000496;CARRIL BICI EJE PRADO-RECOLETOS-CASTELLANA TRAMO PLAZA CASTILLA-RAIMUNDO FERNANDEZ VILLAVERDE;001150;15330;61904;;5.900.000,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;205;CHAMARTIN
2022/000449;OBRAS DE INFRAESTRUCTURAS URBANAS DE MOVILIDAD EN LA CIUDAD DE MADRID;001150;15330;60999;;18.350.000,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2022/000544;CARRILES BICI EN LA CIUDAD DE MADRID. OBRAS DE ADAPTACIÓN;001150;15330;61999;;5.000.000,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2022/000545;TRAMO URBANO A-5. ACTUACIONES DE MOVILIDAD, ACCESIBILIDAD Y ADECUACIÓN ENTORNO;001150;15330;61999;;200.000,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;210;LATINA
2015/000215;COLECTOR DOBLADO DE VICÁLVARO. CONSTRUCCIÓN;001150;16001;60914;;3.570.164,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2015/000216;DRENAJE VÍA DE SERVICIO DE LA N-III A LA ALTURA DEL ENSANCHE DE VALLECAS;001150;16001;60914;;1.757.411,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;001150;16001;60914;;400.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2019/000544;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE REJAS. OBRAS ADECUACIÓN Y MEJORA;001150;16001;62700;;1.206.920,00;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;221;BARAJAS
2019/000545;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE VALDEBEBAS. OBRAS DE ADECUACIÓN Y MEJORA;001150;16001;62700;;1.873.014,00;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;221;BARAJAS
2019/000666;COLECTOR VICÁLVARO A, SECTOR LOS AHIJONES. CONSTRUCCIÓN;001150;16001;60914;;13.676.518,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2019/003809;RÁPIDO DE LA RED DE ALCANTARILLADO DE LA CUENCA DE BUTARQUE. APROVECHAMIENTO ENERGÉTICO;001150;16001;62799;;100.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;217;VILLAVERDE
2019/003811;ESTANQUE DEL PARQUE DEL RETIRO. ACONDICIONAMIENTO ESTACIÓN DE TRATAMIENTO DE AGUAS;001150;16001;62700;;10.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;203;RETIRO
2019/004321;DEPURADORA DE BUTARQUE CONSOLIDACIÓN DE LOS TERRENOS;001150;16001;61999;;220.000,00;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;217;VILLAVERDE
2019/004339;RIEGO DE ZONAS VERDES EN SANCHINARRO CON AGUA REGENERADA;001150;16001;61999;;50.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;216;HORTALEZA
2019/004343;OBRAS DE CONEXIÓN DE LA ERAR GAVIA CON LA ERAR LA CHINA;001150;16001;62799;;978.945,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;212;USERA
2020/000163;PARQUE LINEAL DEL MANZANARES CONCEPCION OLIVA. OBRAS DEL JARDÍN DE LLUVIA;001150;16001;60914;;152.081,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;217;VILLAVERDE
2020/000323;COLECTOR EN C/ EDUARDO BARREIROS. CONSTRUCCIÓN;001150;16001;60914;;1.280.100,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;217;VILLAVERDE
2020/000692;DEPÓSITO DE AGUA EN EL PARQUE JUAN XXIII. CONSTRUCCIÓN;001150;16001;60999;;21.800,00;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;209;MONCLOA-ARAVACA
2021/000235;INTERVENCIONES EN COLECTORES, ACTUACIONES DE DRENAJE Y DESAGÜE;001150;16001;60914;;237.620,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2021/000284;HIDRANTES EN LA VÍA PÚBLICA. INSTALACIÓN;001150;16001;60915;;50.000,00;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;998;VARIOS DISTRITOS
2021/000290;ASISTENCIAS TÉCNICAS PARA LAS OBRAS DE INGENIERÍA DEL AGUA;001150;16001;60914;;100.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2021/000290;ASISTENCIAS TÉCNICAS PARA LAS OBRAS DE INGENIERÍA DEL AGUA;001150;16001;61999;;30.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2021/000290;ASISTENCIAS TÉCNICAS PARA LAS OBRAS DE INGENIERÍA DEL AGUA;001150;16001;60916;;57.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2021/000290;ASISTENCIAS TÉCNICAS PARA LAS OBRAS DE INGENIERÍA DEL AGUA;001150;16001;60999;;21.600,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2021/000290;ASISTENCIAS TÉCNICAS PARA LAS OBRAS DE INGENIERÍA DEL AGUA;001150;16001;62700;;20.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2021/000290;ASISTENCIAS TÉCNICAS PARA LAS OBRAS DE INGENIERÍA DEL AGUA;001150;16001;62799;;121.055,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2021/000330;RETIRADA DE ELEMENTOS AJENOS AL CAUCE DEL RÍO MANZANARES EN EL TÉRMINO MUNICIPAL DE MADRID;001150;16001;61999;;30.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2021/000331;PROLONGACIÓN CAMINO FLUVIAL MI RÍO MANZANARES HASTA EL TÉRMINO MUNICIPAL DE GETAFE;001150;16001;61999;;592.892,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;218;VILLA DE VALLECAS
2021/001191;FUENTE ORNAMENTAL ENTRE LAS CALLES MARCELO USERA Y MANUEL NOYA. CONSTRUCCIÓN;001150;16001;60916;;57.000,00;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;212;USERA
2022/000213;OTROS GASTOS DE INVERSIÓN OBRAS INGENIERÍA DEL AGUA;001150;16001;60904;;100;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2022/000213;OTROS GASTOS DE INVERSIÓN OBRAS INGENIERÍA DEL AGUA;001150;16001;61999;;440.768,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2022/000213;OTROS GASTOS DE INVERSIÓN OBRAS INGENIERÍA DEL AGUA;001150;16001;60916;;57.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2022/000213;OTROS GASTOS DE INVERSIÓN OBRAS INGENIERÍA DEL AGUA;001150;16001;60999;;21.600,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2022/000213;OTROS GASTOS DE INVERSIÓN OBRAS INGENIERÍA DEL AGUA;001150;16001;62700;;20.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2022/000214;REDACCIÓN PROYECTOS INGENIERÍA DEL AGUA;001150;16001;60914;;100.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2022/000214;REDACCIÓN PROYECTOS INGENIERÍA DEL AGUA;001150;16001;61999;;50.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2022/000214;REDACCIÓN PROYECTOS INGENIERÍA DEL AGUA;001150;16001;60916;;57.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2022/000214;REDACCIÓN PROYECTOS INGENIERÍA DEL AGUA;001150;16001;62700;;20.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;998;VARIOS DISTRITOS
2022/000215;GLORIETA PLAYA DE SAN LORENZO. ADECUACIÓN INSTALACIÓN HIDRÁULICA ORNAMENTAL;001150;16001;60916;;57.000,00;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;221;BARAJAS
2022/000219;DÁRSENAS DE AGUA REGENERADA EN LA GLORIETA DE PIRÁMIDES. ADECUACIÓN;001150;16001;61999;;20.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;202;ARGANZUELA
2019/000344;NUEVA PLANTA DE MATERIA ORGÁNICA EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;001150;16230;62701;;18.146.775,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2021/000001;CENTRO DE TRATAMIENTO  LAS DEHESAS. SISTEMAS DE DESODORIZACIÓN;001150;16230;62701;;4.911.311,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2021/000002;CENTRO DE TRATAMIENTO LA PALOMA. SISTEMAS DE DESODORIZACIÓN;001150;16230;62701;;5.456.003,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2022/000548;RED DE NODOS DE COMPOSTAJE PARA LA CIUDAD DE MADRID;001150;16230;62701;;900.000,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;998;VARIOS DISTRITOS
2020/000272;ÁREAS INFANTILES DETERIORADAS. RENOVACIÓN;001150;16301;61913;;333.298,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2021/002001;CIRCUITOS BIOSALUDABLES EN TODOS LOS DISTRITOS DE MADRID (ID 20: 12181);001150;16301;60913;;749.998,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2022/000016;MOBILIARO URBANO PARA RESTRICCIONES DE ACCESO A LA VÍA PÚBLICA. SEGURIDAD;001150;16301;60913;;53.512,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2022/000017;MOBILIARIO URBANO EN ÁREAS INFANTILES, ÁREAS DE MAYORES Y RENOVACIÓN DE OTROS ELEMENTOS;001150;16301;61913;;2.916.704,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2022/000546;APARCAMIENTOS PARA BICICLETAS Y VEHÍCULOS MOVILIDAD PERSONAL. INSTALACIÓN;001150;16301;60913;;600.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2022/002001;PARQUES INFANTILES BARRIO DE HISPANOAMÉRICA.COLUMPIOS INCLUSIVOS Y OTRAS MEJORAS ( ID 20: 12562);001150;16301;61913;5;172.187,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;205;CHAMARTIN
2022/002002;ZONAS DE EJERCICIO PARA MAYORES EN SOMBRA SAN BLAS-CANILLEJAS. INSTALACIÓN (ID 20: 14901);001150;16301;61913;5;175.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;220;SAN BLAS - CANILLEJAS
2022/002005;APARATOS DE GIMNASIA ADULTOS Y MAYORES EN PALOMERAS BAJAS - MADRID SUR. INSTALACIÓN (ID 18: 2427);001150;16301;60913;5;175.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;213;PUENTE DE VALLECAS
2022/002009;COLUMPIOS INCLUSIVOS, MOVILIDAD REDUCIDA EN PARQUES DISTRITO DE RETIRO. INSTALACIÓN (ID 19: 9978);001150;16301;60913;5;250.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;203;RETIRO
2022/002010;COLUMPIOS INCLUSIVOS ADAPTADOS EN PARQUES DEL DISTRITO DE ARGANZUELA. INSTALACIÓN (ID 19: 10143);001150;16301;60913;5;250.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;202;ARGANZUELA
2022/002012;COLUMPIOS INCLUSIVOS ADAPTADOS PARQUES DEL DISTRITO DE MONCLOA-ARAVACA.INSTALACIÓN (ID 19: 10353);001150;16301;60913;5;82.131,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;209;MONCLOA-ARAVACA
2022/002031;ÁREA DE MAYORES EN LA COLONIA VIRGEN DE LA ESPERANZA,BARRIO DE CANILLAS. INSTALACIÓN (ID 20: 15437);001150;16301;61913;5;250.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;216;HORTALEZA
2022/000027;SERVICIOS ADMINISTRATIVOS ÁREA MEDIO AMBIENTE Y MOVILIDAD. MOBILIARIO DE OFICINA;001150;17000;62500;;50.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000028;SERVICIOS ADMINISTRATIVOS ÁREA MEDIO AMBIENTE Y MOVILIDAD. OTRO MOBILIARIO Y ENSERES;001150;17000;62599;;1.500,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2015/000213;FINCA DE TORRE ARIAS. REMODELACIÓN DEL ENTORNO;001150;17101;61920;;97.007,00;09;MEDIO AMBIENTE;00;PARQUES;220;SAN BLAS - CANILLEJAS
2016/000471;PARQUE LINEAL DEL MANZANARES. DIVERSAS ACTUACIONES DE MEJORA;001150;17101;61920;;100.000,00;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2017/000244;PARQUE DE LA CASA DE CAMPO. ACTUACIONES DE REHABILITACIÓN;001150;17101;61920;;530.795,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2017/000247;PARQUE MADRID RÍO. ACTUACIONES DE REHABILITACIÓN;001150;17101;61920;;8.000,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2017/000247;PARQUE MADRID RÍO. ACTUACIONES DE REHABILITACIÓN;001150;17101;61920;;6.000,00;09;MEDIO AMBIENTE;00;PARQUES;210;LATINA
2017/000247;PARQUE MADRID RÍO. ACTUACIONES DE REHABILITACIÓN;001150;17101;61920;;6.000,00;09;MEDIO AMBIENTE;00;PARQUES;212;USERA
2017/000248;PARQUE JUAN CARLOS I. ACTUACIONES DE REHABILITACIÓN;001150;17101;61920;;300.000,00;09;MEDIO AMBIENTE;00;PARQUES;221;BARAJAS
2017/000249;PARQUE DEL RETIRO. ACTUACIONES DE REHABILITACIÓN;001150;17101;61920;;400.000,00;09;MEDIO AMBIENTE;00;PARQUES;203;RETIRO
2019/000374;ENSANCHE DE VALLECAS. ACONDICIONAMIENTO DE CAMINOS Y ZONAS ESTANCIALES;001150;17101;60921;;323.794,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;218;VILLA DE VALLECAS
2019/000650;ZONAS VERDES PLAZA DON ANTONIO DE ANDRÉS. REMODELACIÓN;001150;17101;61921;5;102.330,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;219;VICALVARO
2019/003546;PARQUE DEL PARAÍSO. OBRAS DE ADECUACIÓN Y MEJORA (ID 18: 409);001150;17101;61920;5;499.837,00;09;MEDIO AMBIENTE;00;PARQUES;220;SAN BLAS - CANILLEJAS
2019/004334;PARQUE LINEAL DEL MANZANARES.IMPERMEABILIZACIÓN DE FUENTES SINGULARES;001150;17101;61916;;50.000,00;09;MEDIO AMBIENTE;00;PARQUES;213;PUENTE DE VALLECAS
2019/009182;PARQUE EN C/FERMÍN CABALLERO, 88, BARRIO DE PEÑAGRANDE. ADECUACIÓN (ID 19: 12060);001150;17101;61920;5;751.400,00;09;MEDIO AMBIENTE;00;PARQUES;208;FUENCARRAL-EL PARDO
2020/000037;REDACCIÓN DE PROYECTOS DE OBRAS PATRIMONIO VERDE;001150;17101;61920;;15.000,00;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2020/000258;ÁREA FORESTAL TRES CANTOS. REPARACIÓN DE EDIFICACIONES;001150;17101;61920;;300.000,00;09;MEDIO AMBIENTE;00;PARQUES;999;NO DISTRITALIZABLE
2020/000394;PARQUE JUAN PABLO II. ACTUACIONES DE REHABILITACIÓN;001150;17101;61920;;133.569,00;09;MEDIO AMBIENTE;00;PARQUES;216;HORTALEZA
2020/000429;ZONA VERDE ENTRE C/ REAL DE ARGANDA Y C/ PUENTELARRA. REMODELACIÓN;001150;17101;61921;5;1.229.726,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;218;VILLA DE VALLECAS
2021/001208;JARDINES DEL BUEN RETIRO. REPOSICIÓN DE MAQUINARIA;001150;17101;63300;;218.139,00;09;MEDIO AMBIENTE;00;PARQUES;203;RETIRO
2021/001266;PARQUE QUINTA TORRE ARIAS. ADQUISICIÓN Y REPOSICIÓN DE MAQUINARIA;001150;17101;63300;;68.344,00;09;MEDIO AMBIENTE;00;PARQUES;220;SAN BLAS - CANILLEJAS
2021/001267;PARQUE CASA DE CAMPO. ADQUISICIÓN Y REPOSICIÓN DE MAQUINARIA;001150;17101;63300;;140.919,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2021/001331;VIVERO MUNICIPAL MIGAS CALIENTES. ADQUISICIÓN MAQUINARIA;001150;17101;63300;;96.800,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2021/001432;VIVERO MUNICIPAL CASA DE CAMPO. ADQUISICIÓN MAQUINARIA;001150;17101;63300;;42.229,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2022/000156;JARDINES DEL BUEN RETIRO. ALUMBRADO NAVIDEÑO;001150;17101;60917;;300.000,00;09;MEDIO AMBIENTE;00;PARQUES;203;RETIRO
2022/000157;PARQUE JUAN CARLOS I. RENOVACIÓN Y MEJORA INSTALACIONES HIDRÁULICAS ORNAMENTALES;001150;17101;61916;;15.000,00;09;MEDIO AMBIENTE;00;PARQUES;221;BARAJAS
2022/000160;PARQUE JUAN CARLOS I. ADECUACIÓN Y MEJORA EFICICIENCIA PIRÁMIDE SOLAR E INSTALACIONES ALUMBRADO;001150;17101;61917;;100;09;MEDIO AMBIENTE;00;PARQUES;221;BARAJAS
2022/000162;MUSEO ESTUFAS RETIRO. INSTALACIÓN;001150;17101;61920;;298.000,00;09;MEDIO AMBIENTE;00;PARQUES;203;RETIRO
2022/000208;REDACCIÓN PROYECTOS EN ZONAS VERDES (REMODELACIÓN);001150;17101;61920;;50.000,00;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2022/000209;OTROS GASTOS DE INVERSIÓN EN ZONAS VERDES (REMODELACIÓN);001150;17101;61920;;100.000,00;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2022/002027;FAUNA Y FLORA AUTÓCTONA EN LA CASA DE CAMPO Y MONTE DE EL PARDO. REPOBLACIÓN (ID 20:14474);001150;17101;61920;5;48.279,00;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2016/000833;PARQUE DE LA GAVIA, DISTRITO VILLA DE VALLECAS. OBRAS DE REHABILITACIÓN;001150;17102;60920;;21.000,00;09;MEDIO AMBIENTE;00;PARQUES;218;VILLA DE VALLECAS
2017/007121;PARQUE SAN ISIDRO. REHABILITACIÓN (ID 17: 4302);001150;17102;61920;5;3.019.590,00;09;MEDIO AMBIENTE;00;PARQUES;211;CARABANCHEL
2019/004325;PARQUE GARRIGUES WALKER.REHABILITACION Y ORDENACION DE USOS;001150;17102;61920;5;1.190.687,00;09;MEDIO AMBIENTE;00;PARQUES;213;PUENTE DE VALLECAS
2019/004347;ZONA ESTANCIAL EN AVENIDA DE ARCENTALES, 28. ADECUACIÓN;001150;17102;61921;;500.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;220;SAN BLAS - CANILLEJAS
2019/004348;PARQUE OLOF PALME. REHABILITACIÓN;001150;17102;61920;5;293.143,00;09;MEDIO AMBIENTE;00;PARQUES;212;USERA
2020/000040;REDACCIÓN DE PROYECTOS DE OBRAS ZONAS VERDES;001150;17102;61922;;50.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2020/000330;CREACION DE UNA ZONA SEMIFORESTAL ENTRE LA CALLE ESTOCOLMO Y LA M-40;001150;17102;61922;;450.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;220;SAN BLAS - CANILLEJAS
2020/000629;REPLANTACIÓN Y CLAUSURA DE ALCORQUES EN LA TRAMA URBANA DE LA CIUDAD DE MADRID;001150;17102;61922;;500.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2021/000347;"PARQUE DE LAS CRUCES, DISTRITO DE CARABANCHEL. REHABILITACIÓN (ID 19: 9283;11756)";001150;17102;61920;;1.918.590,00;09;MEDIO AMBIENTE;00;PARQUES;211;CARABANCHEL
2021/000348;PARQUE DEL GASOMETRO, DISTRITO DE ARGANZUELA. REHABILITACIÓN;001150;17102;61920;;1.210.000,00;09;MEDIO AMBIENTE;00;PARQUES;202;ARGANZUELA
2021/000349;PARQUE DE PRADOLONGO, DISTRITO DE USERA. REHABILITACIÓN Y AMPLIACIÓN;001150;17102;61920;;1.400.000,00;09;MEDIO AMBIENTE;00;PARQUES;212;USERA
